ID;Name;Abk.;Region;Name (Abk.)
24373;Eisclub Bad Tölz e.V.;ECBT;BAY;Eisclub Bad Tölz e.V. (ECBT)
24423;Eiskunstlauf-Verein Holzkirchen e.V.;EKVH;BAY;Eiskunstlauf-Verein Holzkirchen e.V. (EKVH)
45552;Eiskunstlaufverein Berchtesgaden e.V.;EKLVBG;BAY;Eiskunstlaufverein Berchtesgaden e.V. (EKLVBG)
24377;Eislauf Club Nürnberg e.V.;ECNÜ;BAY;Eislauf Club Nürnberg e.V. (ECNÜ)
24433;Eislaufverein Landshut e.V.;EVLH;BAY;Eislaufverein Landshut e.V. (EVLH)
24413;Eissport-Club Dorfen e.V.;ESCDO;BAY;Eissport-Club Dorfen e.V. (ESCDO)
35902;Eissport-Club Haßfurt e.V.;ESCHAS;BAY;Eissport-Club Haßfurt e.V. (ESCHAS)
24425;Eissport-Verein Augsburg e.V.;EVAU;BAY;Eissport-Verein Augsburg e.V. (EVAU)
37771;Eissportclub Kempten e.V.;ESCKE;BAY;Eissportclub Kempten e.V. (ESCKE)
32510;Eissportclub Regensburg e.V.;ECRE;BAY;Eissportclub Regensburg e.V. (ECRE)
24429;EKV Füssen e.V.;EKVF;BAY;EKV Füssen e.V. (EKVF)
35447;EKV Mittenwald e.V.;EKVM;BAY;EKV Mittenwald e.V. (EKVM)
25029;ERC Bad Aibling e.V.;ERCBA;BAY;ERC Bad Aibling e.V. (ERCBA)
24394;ERC Fürstenfeldbruck e.V.;ERCFÜ;BAY;ERC Fürstenfeldbruck e.V. (ERCFÜ)
24398;ERC Ingolstadt "Panther" e.V.;ERCI;BAY;ERC Ingolstadt "Panther" e.V. (ERCI)
24401;ERC München e.V.;ERCM;BAY;ERC München e.V. (ERCM)
29770;ERC Sonthofen 1999 e.V.;ERCSO;BAY;ERC Sonthofen 1999 e.V. (ERCSO)
24402;ERSC Ottobrunn e.V.;ERSCO;BAY;ERSC Ottobrunn e.V. (ERSCO)
28467;ERV Schweinfurt e.V.;ERVS;BAY;ERV Schweinfurt e.V. (ERVS)
31798;ESC Amberg e.V.;ESCAM;BAY;ESC Amberg e.V. (ESCAM)
24414;ESC Höchstadt/Aisch;ESCHÖ;BAY;ESC Höchstadt/Aisch (ESCHÖ)
41114;ESC River Rats Geretsried e.V.;ESCRRG;BAY;ESC River Rats Geretsried e.V. (ESCRRG)
24382;ESC Vilshofen e.V.;ESCV;BAY;ESC Vilshofen e.V. (ESCV)
26377;ESV Buchloe;ESVBU;BAY;ESV Buchloe (ESVBU)
24418;ESV Burgau 2000 e.V.;ESVB;BAY;ESV Burgau 2000 e.V. (ESVB)
24419;ESV Kaufbeuren e.V.;ESVK;BAY;ESV Kaufbeuren e.V. (ESVK)
28104;EV Berchtesgaden e.V.;EVBE;BAY;EV Berchtesgaden e.V. (EVBE)
24437;EV Rosenheim 1978 e.V.;EVRO;BAY;EV Rosenheim 1978 e.V. (EVRO)
39103;Fun on Ice Regen e.V.;FUNREG;BAY;Fun on Ice Regen e.V. (FUNREG)
40739;Hockey Club Landsberg e.V.;HCL;BAY;Hockey Club Landsberg e.V. (HCL)
47931;Munich Synchro Family e.V.;MSF;BAY;Munich Synchro Family e.V. (MSF)
24459;Münchener EV v. 1883 e.V.;MEV;BAY;Münchener EV v. 1883 e.V. (MEV)
27718;SC Bad Kissingen e.V.;SCBA;BAY;SC Bad Kissingen e.V. (SCBA)
24475;SC Riessersee e.V.;SCRI;BAY;SC Riessersee e.V. (SCRI)
